round,global_acc,global_loss,n_selected_clients,selected_clients,round_time_s,cumulative_time_s
1,10.0,2.761047,10,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",24.56,24.56
2,10.0,2.652901,10,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",23.97,48.53
3,10.0,3.376232,10,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",26.25,74.78
4,10.0,3.846305,10,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",25.16,99.94
5,10.0,4.85399,10,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",27.53,127.47
6,10.0,3.043127,10,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",27.66,155.13
7,11.96,3.148043,10,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",18.89,174.02
8,13.33,3.678889,10,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",20.57,194.59
9,10.0,3.238371,10,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",26.63,221.22
10,10.0,3.769411,10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",23.67,244.89
11,10.0,5.212446,10,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",20.53,265.42
12,12.72,4.067387,10,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",27.49,292.91
13,11.14,4.969806,10,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",24.33,317.24
14,10.0,4.264482,10,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",31.17,348.41
15,10.0,3.099094,10,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",32.35,380.76
16,11.25,3.124953,10,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",36.92,417.69
17,10.0,4.456044,10,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",33.78,451.46
18,13.4,3.718126,10,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",31.73,483.19
19,13.57,2.689814,10,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",18.01,501.21
20,10.0,2.451195,10,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",10.89,512.1
21,10.0,2.534842,10,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",6.64,518.73
22,10.0,2.928544,10,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",9.6,528.33
23,10.12,2.736793,10,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",7.12,535.45
24,10.33,3.119082,10,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",11.84,547.29
25,10.02,2.826316,10,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",8.84,556.13
26,10.92,3.385119,10,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",10.02,566.15
27,10.0,5.36935,10,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",9.16,575.32
28,10.0,4.494233,10,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",8.28,583.6
29,10.16,4.412788,10,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",12.03,595.62
30,10.0,5.820464,10,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",6.55,602.17
